,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec_x,Unnamed: 8_level_1,Opp,Opp_2,Tm_x,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,_x,key,Player,Tm_y,Cmp,Att,Att_2,Yds,Yds_2,Yds_3,TD,TD_2,TD_3,Int,Sk,Yds.1,Lng,Lng_2,Lng_3,Rate,Tgt,Rec_y,Fmb,FL,_y,Pos
18,14,Sun,December 11,1:00PM ET,boxscore,L,,5-7-1,@,Miami Dolphins,26.0,23.0,21.0,15.0,300.0,314.0,125.0,231.0,175.0,83.0,4.0,3.0,-9.49,5.71,2.93,/boxscores/201612110mia.htm,0,DeVante Parker,MIA,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,,3,2,0,0,/players/P/ParkDe01.htm,WR
19,14,Sun,December 11,1:00PM ET,boxscore,L,,5-7-1,@,Miami Dolphins,26.0,23.0,21.0,15.0,300.0,314.0,125.0,231.0,175.0,83.0,4.0,3.0,-9.49,5.71,2.93,/boxscores/201612110mia.htm,0,Dion Sims,MIA,0,0,0,0,0,9,0,0,1,0,0,0,0,0,7,,2,2,0,0,/players/S/SimsDi00.htm,TE
0,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Drew Brees,NOR,37,48,2,389,-2,0,4,0,0,0,3,31,65,-1,0,127.9,0,0,1,1,/players/B/BreeDr00.htm,QB
1,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Mark Ingram,NOR,0,0,17,0,78,14,0,0,0,0,0,0,0,14,17,,4,2,0,0,/players/I/IngrMa01.htm,RB
2,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Tim Hightower,NOR,0,0,11,0,37,11,0,2,0,0,0,0,0,9,5,,3,3,0,0,/players/H/HighTi00.htm,
3,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Travaris Cadet,NOR,0,0,1,0,16,30,0,0,1,0,0,0,0,16,10,,5,5,0,0,/players/C/CadeTr00.htm,
4,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,John Kuhn,NOR,0,0,1,0,1,1,0,0,0,0,0,0,0,1,3,,2,2,0,0,/players/K/KuhnJo00.htm,
5,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Brandin Cooks,NOR,0,0,0,0,0,186,0,0,2,0,0,0,0,0,65,,8,7,0,0,/players/C/CookBr00.htm,
6,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Willie Snead,NOR,0,0,0,0,0,76,0,0,0,0,0,0,0,0,19,,11,8,0,0,/players/S/SneaWi00.htm,WR
7,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Michael Thomas,NOR,0,0,0,0,0,52,0,0,1,0,0,0,0,0,12,,10,7,0,0,/players/T/ThomMi05.htm,WR
8,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Coby Fleener,NOR,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,,3,2,0,0,/players/F/FleeCo00.htm,
9,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,John Phillips,NOR,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,,1,1,0,0,/players/P/PhilJo00.htm,
10,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Brandon Coleman,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,/players/C/ColeBr00.htm,WR
13,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Carson Palmer,ARI,28,40,0,318,0,0,2,0,0,0,1,9,30,0,0,110.2,0,0,0,0,/players/P/PalmCa00.htm,QB
14,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Kerwynn Williams,ARI,0,0,3,0,63,0,0,1,0,0,0,0,0,49,0,,0,0,0,0,/players/W/WillKe05.htm,
15,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,David Johnson,ARI,0,0,12,0,53,55,0,2,0,0,0,0,0,13,25,,5,4,0,0,/players/J/JohnDa08.htm,RB
16,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,John Brown,ARI,0,0,0,0,0,81,0,0,1,0,0,0,0,0,30,,6,5,0,0,/players/B/BrowJo02.htm,WR
17,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Larry Fitzgerald,ARI,0,0,0,0,0,57,0,0,0,0,0,0,0,0,13,,9,7,1,1,/players/F/FitzLa00.htm,WR
18,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Jermaine Gresham,ARI,0,0,0,0,0,42,0,0,0,0,0,0,0,0,23,,5,3,0,0,/players/G/GresJe00.htm,TE
19,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,JJ Nelson,ARI,0,0,0,0,0,38,0,0,1,0,0,0,0,0,11,,11,5,0,0,/players/N/NelsJJ00.htm,WR
20,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Brittan Golden,ARI,0,0,0,0,0,23,0,0,0,0,0,0,0,0,19,,2,2,1,1,/players/G/GoldBr00.htm,
21,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Darren Fells,ARI,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,,1,1,0,0,/players/F/FellDa01.htm,
22,15,Sun,December 18,4:05PM ET,boxscore,L,,5-8-1,,New Orleans Saints,48.0,41.0,26.0,33.0,425.0,488.0,309.0,358.0,116.0,130.0,2.0,1.0,20.85,-19.35,-9.15,/boxscores/201612180crd.htm,0,Andre Ellington,ARI,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,,1,1,0,0,/players/E/ElliAn00.htm,
0,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Carson Palmer,ARI,16,26,1,284,-1,0,1,0,0,0,1,8,80,-1,0,111.7,0,0,0,0,/players/P/PalmCa00.htm,QB
1,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Larry Fitzgerald,ARI,0,1,0,0,0,31,0,0,0,0,0,0,0,0,16,39.6,4,4,0,0,/players/F/FitzLa00.htm,WR
2,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,David Johnson,ARI,0,0,28,0,95,41,0,3,0,0,0,0,0,33,29,,7,4,1,1,/players/J/JohnDa08.htm,RB
3,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,JJ Nelson,ARI,0,0,0,0,0,132,0,0,1,0,0,0,0,0,80,,7,3,0,0,/players/N/NelsJJ00.htm,WR
4,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Jermaine Gresham,ARI,0,0,0,0,0,40,0,0,0,0,0,0,0,0,34,,4,2,0,0,/players/G/GresJe00.htm,TE
5,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Brittan Golden,ARI,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22,,2,1,0,0,/players/G/GoldBr00.htm,
6,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,John Brown,ARI,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,,2,1,0,0,/players/B/BrowJo02.htm,WR
7,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Kerwynn Williams,ARI,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,,1,1,0,0,/players/W/WillKe05.htm,
10,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Russell Wilson,SEA,29,45,10,350,36,0,4,0,0,0,6,37,42,15,0,117.8,0,0,1,1,/players/W/WilsRu00.htm,QB
11,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Alex Collins,SEA,0,0,7,0,28,19,0,0,0,0,0,0,0,13,9,,4,4,0,0,/players/C/CollAl00.htm,
12,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Thomas Rawls,SEA,0,0,8,0,8,0,0,0,0,0,0,0,0,4,0,,1,0,0,0,/players/R/RawlTh00.htm,RB
13,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Doug Baldwin,SEA,0,0,2,0,6,171,0,0,1,0,0,0,0,4,42,,19,13,0,0,/players/B/BaldDo00.htm,WR
14,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Jimmy Graham,SEA,0,0,0,0,0,43,0,0,1,0,0,0,0,0,37,,3,2,0,0,/players/G/GrahJi00.htm,TE
15,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Paul Richardson,SEA,0,0,0,0,0,42,0,0,1,0,0,0,0,0,16,,5,4,0,0,/players/R/RichPa01.htm,
16,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Tyler Lockett,SEA,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,,3,2,0,0,/players/L/LockTy00.htm,WR
17,16,Sat,December 24,4:25PM ET,boxscore,W,,6-8-1,@,Seattle Seahawks,31.0,34.0,21.0,24.0,370.0,391.0,276.0,313.0,94.0,78.0,1.0,1.0,6.42,-5.97,2.48,/boxscores/201612240sea.htm,0,Jermaine Kearse,SEA,0,0,0,0,0,37,0,0,1,0,0,0,0,0,16,,9,4,0,0,/players/K/KearJe01.htm,WR
0,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Carson Palmer,ARI,20,38,0,255,0,0,3,0,0,1,1,3,37,0,0,89.3,0,0,0,0,/players/P/PalmCa00.htm,QB
1,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Drew Stanton,ARI,2,4,0,8,0,0,0,0,0,1,0,0,8,0,0,16.7,0,0,0,0,/players/S/StanDr00.htm,
2,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Kerwynn Williams,ARI,0,0,12,0,60,0,0,1,0,0,0,0,0,21,0,,1,0,0,0,/players/W/WillKe05.htm,
3,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Andre Ellington,ARI,0,0,7,0,18,8,0,0,0,0,0,0,0,7,4,,3,2,0,0,/players/E/ElliAn00.htm,
4,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,David Johnson,ARI,0,0,5,0,6,38,0,0,0,0,0,0,0,7,17,,4,3,0,0,/players/J/JohnDa08.htm,RB
5,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,JJ Nelson,ARI,0,0,0,0,0,75,0,0,0,0,0,0,0,0,32,,12,4,0,0,/players/N/NelsJJ00.htm,
6,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Larry Fitzgerald,ARI,0,0,0,0,0,43,0,0,1,0,0,0,0,0,22,,7,5,0,0,/players/F/FitzLa00.htm,WR
7,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Darren Fells,ARI,0,0,0,0,0,37,0,0,1,0,0,0,0,0,37,,2,1,0,0,/players/F/FellDa01.htm,
8,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Jeremy Ross,ARI,0,0,0,0,0,37,0,0,1,0,0,0,0,0,15,,4,4,0,0,/players/R/RossJe01.htm,WR
9,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,John Brown,ARI,0,0,0,0,0,25,0,0,0,0,0,0,0,0,16,,4,2,0,0,/players/B/BrowJo02.htm,
10,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Jermaine Gresham,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,/players/G/GresJe00.htm,TE
11,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Brittan Golden,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,0,0,/players/G/GoldBr00.htm,WR
14,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Jared Goff,LAR,13,20,0,120,0,0,0,0,0,0,7,72,29,0,0,81.2,0,0,2,0,/players/G/GoffJa00.htm,QB
15,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Sean Mannion,LAR,3,6,1,19,-1,0,0,0,0,1,0,0,9,-1,0,17.4,0,0,1,0,/players/M/MannSe00.htm,
16,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Pharoh Cooper,LAR,0,1,0,0,0,36,0,0,0,1,0,0,0,0,23,0.0,6,4,0,0,/players/C/CoopPh00.htm,WR
17,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Johnny Hekker,LAR,1,1,0,4,0,0,0,0,0,0,0,0,4,0,0,83.3,0,0,0,0,/players/H/HekkJo00.htm,
18,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Todd Gurley,LAR,0,0,14,0,40,37,0,0,0,0,0,0,0,8,29,,5,4,0,0,/players/G/GurlTo01.htm,HB
19,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Malcolm Brown,LAR,0,0,5,0,11,0,0,0,0,0,0,0,0,4,0,,0,0,0,0,/players/B/BrowMa03.htm,
20,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Tavon Austin,LAR,0,0,2,0,2,18,0,0,0,0,0,0,0,3,10,,4,2,2,1,/players/A/AustTa00.htm,WR
21,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Brian Quick,LAR,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,,7,2,0,0,/players/Q/QuicBr00.htm,WR
22,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Mike Thomas,LAR,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,,1,1,0,0,/players/T/ThomMi04.htm,
23,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Lance Kendricks,LAR,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,,3,2,0,0,/players/K/KendLa00.htm,TE
24,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Paul McRoberts,LAR,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,,1,1,0,0,/players/M/McRoPa00.htm,
25,17,Sun,January 1,4:25PM ET,boxscore,W,,7-8-1,@,Los Angeles Rams,6.0,44.0,21.0,9.0,344.0,123.0,260.0,71.0,84.0,52.0,2.0,3.0,5.82,39.25,-4.75,/boxscores/201701010ram.htm,0,Chase Reynolds,LAR,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,,1,1,0,0,/players/R/ReynCh00.htm,
0,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Drew Brees,NOR,30,48,1,355,3,0,1,0,0,1,2,1,63,3,0,83.2,0,0,0,0,/players/B/BreeDr00.htm,QB
1,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Mark Ingram,NOR,0,0,9,0,24,98,0,0,0,0,0,0,0,9,59,,9,8,0,0,/players/I/IngrMa01.htm,RB
2,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Khiry Robinson,NOR,0,0,8,0,19,51,0,0,0,0,0,0,0,6,22,,6,5,0,0,/players/R/RobiKh00.htm,
3,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Brandin Cooks,NOR,0,0,1,0,4,49,0,0,0,0,0,0,0,4,30,,8,4,0,0,/players/C/CookBr00.htm,WR
4,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Austin Johnson,NOR,0,0,1,0,4,5,0,0,0,0,0,0,0,4,3,,3,2,0,0,/players/J/JohnAu00.htm,
5,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Willie Snead,NOR,0,0,0,0,0,63,0,0,0,0,0,0,0,0,63,,3,1,0,0,/players/S/SneaWi00.htm,
6,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Brandon Coleman,NOR,0,0,0,0,0,41,0,0,1,0,0,0,0,0,19,,7,4,0,0,/players/C/ColeBr00.htm,WR
7,1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,,New Orleans Saints,19.0,31.0,25.0,18.0,427.0,408.0,307.0,354.0,120.0,54.0,1.0,1.0,12.48,0.79,-3.48,/boxscores/201509130crd.htm,0,Marques Colston,NOR,0,0,0,0,0,29,0,0,0,0,0,0,0,0,14,,7,3,0,0,/players/C/ColsMa00.htm,WR
